"time","geo","unit","sex","age","age_label","sex_label","unit_label","value","flag"
2012,"HR","RAT","T","TOTAL","Total","Total","Ratio",5.36,
2013,"HR","RAT","T","TOTAL","Total","Total","Ratio",5.34,
2014,"HR","RAT","T","TOTAL","Total","Total","Ratio",4.91,
2015,"HR","RAT","T","TOTAL","Total","Total","Ratio",5.14,
2016,"HR","RAT","T","TOTAL","Total","Total","Ratio",4.9,
2017,"HR","RAT","T","TOTAL","Total","Total","Ratio",4.97,
2018,"HR","RAT","T","TOTAL","Total","Total","Ratio",5,
2019,"HR","RAT","T","TOTAL","Total","Total","Ratio",4.74,
2020,"HR","RAT","T","TOTAL","Total","Total","Ratio",4.59,
2021,"HR","RAT","T","TOTAL","Total","Total","Ratio",4.77,
2022,"HR","RAT","T","TOTAL","Total","Total","Ratio",4.57,
2023,"HR","RAT","T","TOTAL","Total","Total","Ratio",4.91,"b"
2024,"HR","RAT","T","TOTAL","Total","Total","Ratio",4.97,"b"
2025,"HR","RAT","T","TOTAL","Total","Total","Ratio",4.78,
2004,"IT","RAT","T","TOTAL","Total","Total","Ratio",5.62,"b"
2005,"IT","RAT","T","TOTAL","Total","Total","Ratio",5.57,
2006,"IT","RAT","T","TOTAL","Total","Total","Ratio",5.45,
2007,"IT","RAT","T","TOTAL","Total","Total","Ratio",5.42,
2008,"IT","RAT","T","TOTAL","Total","Total","Ratio",5.21,
2009,"IT","RAT","T","TOTAL","Total","Total","Ratio",5.31,
2010,"IT","RAT","T","TOTAL","Total","Total","Ratio",5.38,
2011,"IT","RAT","T","TOTAL","Total","Total","Ratio",5.73,
2012,"IT","RAT","T","TOTAL","Total","Total","Ratio",5.64,
2013,"IT","RAT","T","TOTAL","Total","Total","Ratio",5.85,
2014,"IT","RAT","T","TOTAL","Total","Total","Ratio",5.78,
2015,"IT","RAT","T","TOTAL","Total","Total","Ratio",5.84,
2016,"IT","RAT","T","TOTAL","Total","Total","Ratio",6.27,
2017,"IT","RAT","T","TOTAL","Total","Total","Ratio",5.92,
2018,"IT","RAT","T","TOTAL","Total","Total","Ratio",6.09,
2019,"IT","RAT","T","TOTAL","Total","Total","Ratio",6.01,
2020,"IT","RAT","T","TOTAL","Total","Total","Ratio",5.75,
2021,"IT","RAT","T","TOTAL","Total","Total","Ratio",5.86,
2022,"IT","RAT","T","TOTAL","Total","Total","Ratio",5.62,
2023,"IT","RAT","T","TOTAL","Total","Total","Ratio",5.27,
2024,"IT","RAT","T","TOTAL","Total","Total","Ratio",5.53,
2025,"IT","RAT","T","TOTAL","Total","Total","Ratio",5.13,
2005,"CY","RAT","T","TOTAL","Total","Total","Ratio",4.34,
2006,"CY","RAT","T","TOTAL","Total","Total","Ratio",4.27,
2007,"CY","RAT","T","TOTAL","Total","Total","Ratio",4.44,
2008,"CY","RAT","T","TOTAL","Total","Total","Ratio",4.3,"b"
2009,"CY","RAT","T","TOTAL","Total","Total","Ratio",4.37,
2010,"CY","RAT","T","TOTAL","Total","Total","Ratio",4.54,
2011,"CY","RAT","T","TOTAL","Total","Total","Ratio",4.34,
2012,"CY","RAT","T","TOTAL","Total","Total","Ratio",4.67,
