"time","geo","unit","statinfo","hhcomp","hhcomp_label","statinfo_label","unit_label","value","flag"
1997,"EL","NAC","MED_EI","NDCH","Household without dependent children","Median equivalised income","National currency",5228,
1998,"EL","NAC","MED_EI","NDCH","Household without dependent children","Median equivalised income","National currency",5802,
1999,"EL","NAC","MED_EI","NDCH","Household without dependent children","Median equivalised income","National currency",6099,
2000,"EL","NAC","MED_EI","NDCH","Household without dependent children","Median equivalised income","National currency",6653,
2001,"EL","NAC","MED_EI","NDCH","Household without dependent children","Median equivalised income","National currency",6986,
2003,"EL","NAC","MED_EI","NDCH","Household without dependent children","Median equivalised income","National currency",8361,"b"
2004,"EL","NAC","MED_EI","NDCH","Household without dependent children","Median equivalised income","National currency",8766,
2005,"EL","NAC","MED_EI","NDCH","Household without dependent children","Median equivalised income","National currency",9421,
2006,"EL","NAC","MED_EI","NDCH","Household without dependent children","Median equivalised income","National currency",9987,
2007,"EL","NAC","MED_EI","NDCH","Household without dependent children","Median equivalised income","National currency",10408,
2008,"EL","NAC","MED_EI","NDCH","Household without dependent children","Median equivalised income","National currency",11123,
2009,"EL","NAC","MED_EI","NDCH","Household without dependent children","Median equivalised income","National currency",11853,
2010,"EL","NAC","MED_EI","NDCH","Household without dependent children","Median equivalised income","National currency",12413,
2011,"EL","NAC","MED_EI","NDCH","Household without dependent children","Median equivalised income","National currency",11052,
2012,"EL","NAC","MED_EI","NDCH","Household without dependent children","Median equivalised income","National currency",9829,
2013,"EL","NAC","MED_EI","NDCH","Household without dependent children","Median equivalised income","National currency",8813,
2014,"EL","NAC","MED_EI","NDCH","Household without dependent children","Median equivalised income","National currency",8000,
2015,"EL","NAC","MED_EI","NDCH","Household without dependent children","Median equivalised income","National currency",8000,
2016,"EL","NAC","MED_EI","NDCH","Household without dependent children","Median equivalised income","National currency",7997,
2017,"EL","NAC","MED_EI","NDCH","Household without dependent children","Median equivalised income","National currency",7992,
2018,"EL","NAC","MED_EI","NDCH","Household without dependent children","Median equivalised income","National currency",8375,
2019,"EL","NAC","MED_EI","NDCH","Household without dependent children","Median equivalised income","National currency",8756,
2020,"EL","NAC","MED_EI","NDCH","Household without dependent children","Median equivalised income","National currency",9373,
2021,"EL","NAC","MED_EI","NDCH","Household without dependent children","Median equivalised income","National currency",9407,
2022,"EL","NAC","MED_EI","NDCH","Household without dependent children","Median equivalised income","National currency",10107,
2023,"EL","NAC","MED_EI","NDCH","Household without dependent children","Median equivalised income","National currency",10650,
2024,"EL","NAC","MED_EI","NDCH","Household without dependent children","Median equivalised income","National currency",11360,
2025,"EL","NAC","MED_EI","NDCH","Household without dependent children","Median equivalised income","National currency",12301,
1995,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",6539,
1996,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",7121,
1997,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",7152,
1998,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",7627,
1999,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",7746,
2000,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",8758,
2001,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",8917,
2003,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",10427,"b"
2004,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",10208,
2005,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",10755,
2006,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",11316,
2007,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",11688,
2008,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",12391,
2009,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",13019,
2010,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",13073,
2011,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",11698,
2012,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",10397,
2013,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",9523,
2014,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",9036,
2015,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",9364,
2016,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",9647,
2017,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",9501,
2018,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",9846,
2019,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",10433,
2020,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",10861,
2021,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",10659,
2022,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",11509,
2023,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",12069,
2024,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",13021,
2025,"EL","PPS","MED_EI","NDCH","Household without dependent children","Median equivalised income","Purchasing power standard (PPS)",14310,
1995,"EL","EUR","MEAN_EI","A1_LT64","One adult younger than 64 years","Mean equivalised income","Euro",7034,
1996,"EL","EUR","MEAN_EI","A1_LT64","One adult younger than 64 years","Mean equivalised income","Euro",7937,
1997,"EL","EUR","MEAN_EI","A1_LT64","One adult younger than 64 years","Mean equivalised income","Euro",9020,
1998,"EL","EUR","MEAN_EI","A1_LT64","One adult younger than 64 years","Mean equivalised income","Euro",9541,
1999,"EL","EUR","MEAN_EI","A1_LT64","One adult younger than 64 years","Mean equivalised income","Euro",10169,
2000,"EL","EUR","MEAN_EI","A1_LT64","One adult younger than 64 years","Mean equivalised income","Euro",11594,
2001,"EL","EUR","MEAN_EI","A1_LT64","One adult younger than 64 years","Mean equivalised income","Euro",10638,
1995,"EL","NAC","MEAN_EI","A1_LT64","One adult younger than 64 years","Mean equivalised income","National currency",6018,
1996,"EL","NAC","MEAN_EI","A1_LT64","One adult younger than 64 years","Mean equivalised income","National currency",7143,
1997,"EL","NAC","MEAN_EI","A1_LT64","One adult younger than 64 years","Mean equivalised income","National currency",8186,
1998,"EL","NAC","MEAN_EI","A1_LT64","One adult younger than 64 years","Mean equivalised income","National currency",8767,
1999,"EL","NAC","MEAN_EI","A1_LT64","One adult younger than 64 years","Mean equivalised income","National currency",9989,
2000,"EL","NAC","MEAN_EI","A1_LT64","One adult younger than 64 years","Mean equivalised income","National currency",11220,
2001,"EL","NAC","MEAN_EI","A1_LT64","One adult younger than 64 years","Mean equivalised income","National currency",10638,
1995,"EL","PPS","MEAN_EI","A1_LT64","One adult younger than 64 years","Mean equivalised income","Purchasing power standard (PPS)",9053,
1996,"EL","PPS","MEAN_EI","A1_LT64","One adult younger than 64 years","Mean equivalised income","Purchasing power standard (PPS)",10169,
1997,"EL","PPS","MEAN_EI","A1_LT64","One adult younger than 64 years","Mean equivalised income","Purchasing power standard (PPS)",11199,
1998,"EL","PPS","MEAN_EI","A1_LT64","One adult younger than 64 years","Mean equivalised income","Purchasing power standard (PPS)",11525,
1999,"EL","PPS","MEAN_EI","A1_LT64","One adult younger than 64 years","Mean equivalised income","Purchasing power standard (PPS)",12686,
2000,"EL","PPS","MEAN_EI","A1_LT64","One adult younger than 64 years","Mean equivalised income","Purchasing power standard (PPS)",14769,
2001,"EL","PPS","MEAN_EI","A1_LT64","One adult younger than 64 years","Mean equivalised income","Purchasing power standard (PPS)",13580,
1995,"EL","EUR","MED_EI","A1_LT64","One adult younger than 64 years","Median equivalised income","Euro",6249,
1996,"EL","EUR","MED_EI","A1_LT64","One adult younger than 64 years","Median equivalised income","Euro",6792,
1997,"EL","EUR","MED_EI","A1_LT64","One adult younger than 64 years","Median equivalised income","Euro",7069,
1998,"EL","EUR","MED_EI","A1_LT64","One adult younger than 64 years","Median equivalised income","Euro",8521,
1999,"EL","EUR","MED_EI","A1_LT64","One adult younger than 64 years","Median equivalised income","Euro",8136,
2000,"EL","EUR","MED_EI","A1_LT64","One adult younger than 64 years","Median equivalised income","Euro",8773,
2001,"EL","EUR","MED_EI","A1_LT64","One adult younger than 64 years","Median equivalised income","Euro",9029,
1995,"EL","NAC","MED_EI","A1_LT64","One adult younger than 64 years","Median equivalised income","National currency",5346,
1996,"EL","NAC","MED_EI","A1_LT64","One adult younger than 64 years","Median equivalised income","National currency",6113,
1997,"EL","NAC","MED_EI","A1_LT64","One adult younger than 64 years","Median equivalised income","National currency",6416,
1998,"EL","NAC","MED_EI","A1_LT64","One adult younger than 64 years","Median equivalised income","National currency",7829,
1999,"EL","NAC","MED_EI","A1_LT64","One adult younger than 64 years","Median equivalised income","National currency",7993,
2000,"EL","NAC","MED_EI","A1_LT64","One adult younger than 64 years","Median equivalised income","National currency",8490,
2001,"EL","NAC","MED_EI","A1_LT64","One adult younger than 64 years","Median equivalised income","National currency",9029,
1995,"EL","PPS","MED_EI","A1_LT64","One adult younger than 64 years","Median equivalised income","Purchasing power standard (PPS)",8043,
1996,"EL","PPS","MED_EI","A1_LT64","One adult younger than 64 years","Median equivalised income","Purchasing power standard (PPS)",8702,
1997,"EL","PPS","MED_EI","A1_LT64","One adult younger than 64 years","Median equivalised income","Purchasing power standard (PPS)",8777,
1998,"EL","PPS","MED_EI","A1_LT64","One adult younger than 64 years","Median equivalised income","Purchasing power standard (PPS)",10293,
1999,"EL","PPS","MED_EI","A1_LT64","One adult younger than 64 years","Median equivalised income","Purchasing power standard (PPS)",10151,
2000,"EL","PPS","MED_EI","A1_LT64","One adult younger than 64 years","Median equivalised income","Purchasing power standard (PPS)",11176,
2001,"EL","PPS","MED_EI","A1_LT64","One adult younger than 64 years","Median equivalised income","Purchasing power standard (PPS)",11526,
1995,"EL","EUR","MEAN_EI","A1_GE65","One adult 65 years or over","Mean equivalised income","Euro",4197,
1996,"EL","EUR","MEAN_EI","A1_GE65","One adult 65 years or over","Mean equivalised income","Euro",4809,
1997,"EL","EUR","MEAN_EI","A1_GE65","One adult 65 years or over","Mean equivalised income","Euro",5039,
1998,"EL","EUR","MEAN_EI","A1_GE65","One adult 65 years or over","Mean equivalised income","Euro",5275,
1999,"EL","EUR","MEAN_EI","A1_GE65","One adult 65 years or over","Mean equivalised income","Euro",5352,
2000,"EL","EUR","MEAN_EI","A1_GE65","One adult 65 years or over","Mean equivalised income","Euro",5921,
2001,"EL","EUR","MEAN_EI","A1_GE65","One adult 65 years or over","Mean equivalised income","Euro",5965,
1995,"EL","NAC","MEAN_EI","A1_GE65","One adult 65 years or over","Mean equivalised income","National currency",3591,
1996,"EL","NAC","MEAN_EI","A1_GE65","One adult 65 years or over","Mean equivalised income","National currency",4327,
1997,"EL","NAC","MEAN_EI","A1_GE65","One adult 65 years or over","Mean equivalised income","National currency",4573,
1998,"EL","NAC","MEAN_EI","A1_GE65","One adult 65 years or over","Mean equivalised income","National currency",4847,
1999,"EL","NAC","MEAN_EI","A1_GE65","One adult 65 years or over","Mean equivalised income","National currency",5257,
2000,"EL","NAC","MEAN_EI","A1_GE65","One adult 65 years or over","Mean equivalised income","National currency",5730,
2001,"EL","NAC","MEAN_EI","A1_GE65","One adult 65 years or over","Mean equivalised income","National currency",5965,
1995,"EL","PPS","MEAN_EI","A1_GE65","One adult 65 years or over","Mean equivalised income","Purchasing power standard (PPS)",5402,
1996,"EL","PPS","MEAN_EI","A1_GE65","One adult 65 years or over","Mean equivalised income","Purchasing power standard (PPS)",6160,
1997,"EL","PPS","MEAN_EI","A1_GE65","One adult 65 years or over","Mean equivalised income","Purchasing power standard (PPS)",6256,
1998,"EL","PPS","MEAN_EI","A1_GE65","One adult 65 years or over","Mean equivalised income","Purchasing power standard (PPS)",6372,
1999,"EL","PPS","MEAN_EI","A1_GE65","One adult 65 years or over","Mean equivalised income","Purchasing power standard (PPS)",6677,
2000,"EL","PPS","MEAN_EI","A1_GE65","One adult 65 years or over","Mean equivalised income","Purchasing power standard (PPS)",7543,
2001,"EL","PPS","MEAN_EI","A1_GE65","One adult 65 years or over","Mean equivalised income","Purchasing power standard (PPS)",7614,
1995,"EL","EUR","MED_EI","A1_GE65","One adult 65 years or over","Median equivalised income","Euro",3548,
1996,"EL","EUR","MED_EI","A1_GE65","One adult 65 years or over","Median equivalised income","Euro",4118,
1997,"EL","EUR","MED_EI","A1_GE65","One adult 65 years or over","Median equivalised income","Euro",4445,
1998,"EL","EUR","MED_EI","A1_GE65","One adult 65 years or over","Median equivalised income","Euro",4526,
1999,"EL","EUR","MED_EI","A1_GE65","One adult 65 years or over","Median equivalised income","Euro",4644,
2000,"EL","EUR","MED_EI","A1_GE65","One adult 65 years or over","Median equivalised income","Euro",5242,
2001,"EL","EUR","MED_EI","A1_GE65","One adult 65 years or over","Median equivalised income","Euro",4990,
1995,"EL","NAC","MED_EI","A1_GE65","One adult 65 years or over","Median equivalised income","National currency",3036,
1996,"EL","NAC","MED_EI","A1_GE65","One adult 65 years or over","Median equivalised income","National currency",3706,
1997,"EL","NAC","MED_EI","A1_GE65","One adult 65 years or over","Median equivalised income","National currency",4034,
1998,"EL","NAC","MED_EI","A1_GE65","One adult 65 years or over","Median equivalised income","National currency",4158,
1999,"EL","NAC","MED_EI","A1_GE65","One adult 65 years or over","Median equivalised income","National currency",4562,
2000,"EL","NAC","MED_EI","A1_GE65","One adult 65 years or over","Median equivalised income","National currency",5073,
2001,"EL","NAC","MED_EI","A1_GE65","One adult 65 years or over","Median equivalised income","National currency",4990,
1995,"EL","PPS","MED_EI","A1_GE65","One adult 65 years or over","Median equivalised income","Purchasing power standard (PPS)",4567,
1996,"EL","PPS","MED_EI","A1_GE65","One adult 65 years or over","Median equivalised income","Purchasing power standard (PPS)",5276,
1997,"EL","PPS","MED_EI","A1_GE65","One adult 65 years or over","Median equivalised income","Purchasing power standard (PPS)",5518,
1998,"EL","PPS","MED_EI","A1_GE65","One adult 65 years or over","Median equivalised income","Purchasing power standard (PPS)",5467,
1999,"EL","PPS","MED_EI","A1_GE65","One adult 65 years or over","Median equivalised income","Purchasing power standard (PPS)",5794,
2000,"EL","PPS","MED_EI","A1_GE65","One adult 65 years or over","Median equivalised income","Purchasing power standard (PPS)",6678,
2001,"EL","PPS","MED_EI","A1_GE65","One adult 65 years or over","Median equivalised income","Purchasing power standard (PPS)",6370,
1995,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",7490,
1996,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",7303,
1997,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",8078,
1998,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",8943,
1999,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",8824,
2000,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",8919,
2001,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",9475,
2003,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",11513,"b"
2004,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",11684,
2005,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",12362,
2006,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",13152,
2007,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",14304,
2008,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",15167,
2009,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",17090,
2010,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",16529,
2011,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",14920,
2012,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",12249,
2013,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",11619,
2014,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",10255,
2015,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",10143,
2016,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",9941,
2017,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",10270,
2018,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",11087,
2019,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",11872,
2020,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",11902,
2021,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",11957,
2022,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",13142,
2023,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",13526,
2024,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",14583,
2025,"EL","EUR","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Euro",16115,
1995,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",6408,
1996,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",6573,
1997,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",7331,
1998,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",8218,
1999,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",8668,
2000,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",8631,
2001,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",9475,
2003,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",11513,"b"
2004,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",11684,
2005,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",12362,
2006,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",13152,
2007,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",14304,
2008,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",15167,
2009,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",17090,
2010,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",16529,
2011,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",14920,
2012,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",12249,
2013,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",11619,
2014,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",10255,
2015,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",10143,
2016,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",9941,
2017,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",10270,
2018,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",11087,
2019,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",11872,
2020,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",11902,
2021,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",11957,
2022,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",13142,
2023,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",13526,
2024,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",14583,
2025,"EL","NAC","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","National currency",16115,
1995,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",9639,
1996,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",9357,
1997,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",10029,
1998,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",10803,
1999,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",11009,
2000,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",11361,
2001,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",12095,
2003,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",14357,"b"
2004,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",13605,
2005,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",14112,
2006,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",14903,
2007,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",16064,
2008,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",16896,
2009,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",18770,
2010,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",17407,
2011,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",15792,
2012,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",12958,
2013,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",12556,
2014,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",11582,
2015,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",11873,
2016,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",11992,
2017,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",12210,
2018,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",13035,
2019,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",14146,
2020,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",13791,
2021,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",13550,
2022,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",14965,
2023,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",15328,
2024,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",16715,
2025,"EL","PPS","MEAN_EI","A2_2LT65","Two adults younger than 65 years","Mean equivalised income","Purchasing power standard (PPS)",18748,
1995,"EL","EUR","MED_EI","A2_2LT65","Two adults younger than 65 years","Median equivalised income","Euro",5925,
1996,"EL","EUR","MED_EI","A2_2LT65","Two adults younger than 65 years","Median equivalised income","Euro",6188,
1997,"EL","EUR","MED_EI","A2_2LT65","Two adults younger than 65 years","Median equivalised income","Euro",6807,
1998,"EL","EUR","MED_EI","A2_2LT65","Two adults younger than 65 years","Median equivalised income","Euro",7407,
1999,"EL","EUR","MED_EI","A2_2LT65","Two adults younger than 65 years","Median equivalised income","Euro",7458,
2000,"EL","EUR","MED_EI","A2_2LT65","Two adults younger than 65 years","Median equivalised income","Euro",7448,
2001,"EL","EUR","MED_EI","A2_2LT65","Two adults younger than 65 years","Median equivalised income","Euro",7742,
2003,"EL","EUR","MED_EI","A2_2LT65","Two adults younger than 65 years","Median equivalised income","Euro",9653,"b"
2004,"EL","EUR","MED_EI","A2_2LT65","Two adults younger than 65 years","Median equivalised income","Euro",9800,
2005,"EL","EUR","MED_EI","A2_2LT65","Two adults younger than 65 years","Median equivalised income","Euro",10633,
2006,"EL","EUR","MED_EI","A2_2LT65","Two adults younger than 65 years","Median equivalised income","Euro",11467,
2007,"EL","EUR","MED_EI","A2_2LT65","Two adults younger than 65 years","Median equivalised income","Euro",11893,
2008,"EL","EUR","MED_EI","A2_2LT65","Two adults younger than 65 years","Median equivalised income","Euro",13040,
2009,"EL","EUR","MED_EI","A2_2LT65","Two adults younger than 65 years","Median equivalised income","Euro",14000,
2010,"EL","EUR","MED_EI","A2_2LT65","Two adults younger than 65 years","Median equivalised income","Euro",14295,
2011,"EL","EUR","MED_EI","A2_2LT65","Two adults younger than 65 years","Median equivalised income","Euro",13078,
2012,"EL","EUR","MED_EI","A2_2LT65","Two adults younger than 65 years","Median equivalised income","Euro",10675,
2013,"EL","EUR","MED_EI","A2_2LT65","Two adults younger than 65 years","Median equivalised income","Euro",9533,
