"time","geo","unit","statinfo","hhcomp","hhcomp_label","statinfo_label","unit_label","value","flag"
2000,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",8819,
2001,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",9072,
2003,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",10234,"b"
2004,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",10314,
2005,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",10731,
2006,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",11143,
2007,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",11320,
2008,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",12032,
2009,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",12663,
2010,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",12599,
2011,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",11627,
2012,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",10007,
2013,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",9052,
2014,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",8674,
2015,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",8810,
2016,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",9052,
2017,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",9048,
2018,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",9258,
2019,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",9771,
2020,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",10175,
2021,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",9920,
2022,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",10841,
2023,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",11400,
2024,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",12451,
2025,"EL","PPS","MED_EI","TOTAL","Total","Median equivalised income","Purchasing power standard (PPS)",13612,
1995,"EL","EUR","MEAN_EI","M1","One single male","Mean equivalised income","Euro",7068,
1996,"EL","EUR","MEAN_EI","M1","One single male","Mean equivalised income","Euro",8142,
1997,"EL","EUR","MEAN_EI","M1","One single male","Mean equivalised income","Euro",9027,
1998,"EL","EUR","MEAN_EI","M1","One single male","Mean equivalised income","Euro",8989,
1999,"EL","EUR","MEAN_EI","M1","One single male","Mean equivalised income","Euro",10191,
2000,"EL","EUR","MEAN_EI","M1","One single male","Mean equivalised income","Euro",11479,
2001,"EL","EUR","MEAN_EI","M1","One single male","Mean equivalised income","Euro",10933,
1995,"EL","NAC","MEAN_EI","M1","One single male","Mean equivalised income","National currency",6046,
1996,"EL","NAC","MEAN_EI","M1","One single male","Mean equivalised income","National currency",7327,
1997,"EL","NAC","MEAN_EI","M1","One single male","Mean equivalised income","National currency",8192,
1998,"EL","NAC","MEAN_EI","M1","One single male","Mean equivalised income","National currency",8260,
1999,"EL","NAC","MEAN_EI","M1","One single male","Mean equivalised income","National currency",10011,
2000,"EL","NAC","MEAN_EI","M1","One single male","Mean equivalised income","National currency",11108,
2001,"EL","NAC","MEAN_EI","M1","One single male","Mean equivalised income","National currency",10933,
1995,"EL","PPS","MEAN_EI","M1","One single male","Mean equivalised income","Purchasing power standard (PPS)",9096,
1996,"EL","PPS","MEAN_EI","M1","One single male","Mean equivalised income","Purchasing power standard (PPS)",10431,
1997,"EL","PPS","MEAN_EI","M1","One single male","Mean equivalised income","Purchasing power standard (PPS)",11207,
1998,"EL","PPS","MEAN_EI","M1","One single male","Mean equivalised income","Purchasing power standard (PPS)",10858,
1999,"EL","PPS","MEAN_EI","M1","One single male","Mean equivalised income","Purchasing power standard (PPS)",12714,
2000,"EL","PPS","MEAN_EI","M1","One single male","Mean equivalised income","Purchasing power standard (PPS)",14622,
2001,"EL","PPS","MEAN_EI","M1","One single male","Mean equivalised income","Purchasing power standard (PPS)",13956,
1995,"EL","EUR","MED_EI","M1","One single male","Median equivalised income","Euro",5736,
1996,"EL","EUR","MED_EI","M1","One single male","Median equivalised income","Euro",6040,
1997,"EL","EUR","MED_EI","M1","One single male","Median equivalised income","Euro",6840,
1998,"EL","EUR","MED_EI","M1","One single male","Median equivalised income","Euro",6865,
1999,"EL","EUR","MED_EI","M1","One single male","Median equivalised income","Euro",7982,
2000,"EL","EUR","MED_EI","M1","One single male","Median equivalised income","Euro",8471,
2001,"EL","EUR","MED_EI","M1","One single male","Median equivalised income","Euro",8495,
1995,"EL","NAC","MED_EI","M1","One single male","Median equivalised income","National currency",4907,
1996,"EL","NAC","MED_EI","M1","One single male","Median equivalised income","National currency",5435,
1997,"EL","NAC","MED_EI","M1","One single male","Median equivalised income","National currency",6208,
1998,"EL","NAC","MED_EI","M1","One single male","Median equivalised income","National currency",6308,
1999,"EL","NAC","MED_EI","M1","One single male","Median equivalised income","National currency",7841,
2000,"EL","NAC","MED_EI","M1","One single male","Median equivalised income","National currency",8198,
2001,"EL","NAC","MED_EI","M1","One single male","Median equivalised income","National currency",8495,
1995,"EL","PPS","MED_EI","M1","One single male","Median equivalised income","Purchasing power standard (PPS)",7382,
1996,"EL","PPS","MED_EI","M1","One single male","Median equivalised income","Purchasing power standard (PPS)",7738,
1997,"EL","PPS","MED_EI","M1","One single male","Median equivalised income","Purchasing power standard (PPS)",8492,
1998,"EL","PPS","MED_EI","M1","One single male","Median equivalised income","Purchasing power standard (PPS)",8292,
1999,"EL","PPS","MED_EI","M1","One single male","Median equivalised income","Purchasing power standard (PPS)",9959,
2000,"EL","PPS","MED_EI","M1","One single male","Median equivalised income","Purchasing power standard (PPS)",10791,
2001,"EL","PPS","MED_EI","M1","One single male","Median equivalised income","Purchasing power standard (PPS)",10843,
1995,"EL","EUR","MEAN_EI","F1","One single female","Mean equivalised income","Euro",4797,
1996,"EL","EUR","MEAN_EI","F1","One single female","Mean equivalised income","Euro",5233,
1997,"EL","EUR","MEAN_EI","F1","One single female","Mean equivalised income","Euro",5476,
1998,"EL","EUR","MEAN_EI","F1","One single female","Mean equivalised income","Euro",5767,
1999,"EL","EUR","MEAN_EI","F1","One single female","Mean equivalised income","Euro",5511,
2000,"EL","EUR","MEAN_EI","F1","One single female","Mean equivalised income","Euro",6193,
2001,"EL","EUR","MEAN_EI","F1","One single female","Mean equivalised income","Euro",6017,
1995,"EL","NAC","MEAN_EI","F1","One single female","Mean equivalised income","National currency",4104,
1996,"EL","NAC","MEAN_EI","F1","One single female","Mean equivalised income","National currency",4710,
1997,"EL","NAC","MEAN_EI","F1","One single female","Mean equivalised income","National currency",4969,
1998,"EL","NAC","MEAN_EI","F1","One single female","Mean equivalised income","National currency",5299,
1999,"EL","NAC","MEAN_EI","F1","One single female","Mean equivalised income","National currency",5413,
2000,"EL","NAC","MEAN_EI","F1","One single female","Mean equivalised income","National currency",5993,
2001,"EL","NAC","MEAN_EI","F1","One single female","Mean equivalised income","National currency",6017,
1995,"EL","PPS","MEAN_EI","F1","One single female","Mean equivalised income","Purchasing power standard (PPS)",6174,
1996,"EL","PPS","MEAN_EI","F1","One single female","Mean equivalised income","Purchasing power standard (PPS)",6704,
1997,"EL","PPS","MEAN_EI","F1","One single female","Mean equivalised income","Purchasing power standard (PPS)",6798,
1998,"EL","PPS","MEAN_EI","F1","One single female","Mean equivalised income","Purchasing power standard (PPS)",6966,
1999,"EL","PPS","MEAN_EI","F1","One single female","Mean equivalised income","Purchasing power standard (PPS)",6875,
2000,"EL","PPS","MEAN_EI","F1","One single female","Mean equivalised income","Purchasing power standard (PPS)",7889,
2001,"EL","PPS","MEAN_EI","F1","One single female","Mean equivalised income","Purchasing power standard (PPS)",7681,
1995,"EL","EUR","MED_EI","F1","One single female","Median equivalised income","Euro",3806,
1996,"EL","EUR","MED_EI","F1","One single female","Median equivalised income","Euro",4343,
1997,"EL","EUR","MED_EI","F1","One single female","Median equivalised income","Euro",4582,
1998,"EL","EUR","MED_EI","F1","One single female","Median equivalised income","Euro",4616,
1999,"EL","EUR","MED_EI","F1","One single female","Median equivalised income","Euro",4656,
2000,"EL","EUR","MED_EI","F1","One single female","Median equivalised income","Euro",5371,
2001,"EL","EUR","MED_EI","F1","One single female","Median equivalised income","Euro",5100,
1995,"EL","NAC","MED_EI","F1","One single female","Median equivalised income","National currency",3256,
1996,"EL","NAC","MED_EI","F1","One single female","Median equivalised income","National currency",3909,
