"time","geo","unit","statinfo","quant_inc","quant_inc_label","statinfo_label","unit_label","value","flag"
2012,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",9513,
2013,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",8371,
2014,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",7680,
2015,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",7520,
2016,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",7500,
2017,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",7600,
2018,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",7863,
2019,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",8195,
2020,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",8781,
2021,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",8752,
2022,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",9520,
2023,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",10050,
2024,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",10850,
2025,"EL","NAC","TC","Q2","Second quartile","Top cut-off point","National currency",11700,
1995,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",6702,
1996,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",7002,
1997,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",7314,
1998,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",7746,
1999,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",7922,
2000,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",8819,
2001,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",9072,
2003,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",10233,"b"
