"time","geo","age","sex","income","unit","statinfo","statinfo_label","unit_label","income_label","sex_label","age_label","value","flag"
2006,"EL","Y_GE65","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","65 years or over",124,
2007,"EL","Y_GE65","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","65 years or over",146,
2008,"EL","Y_GE65","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","65 years or over",157,
2009,"EL","Y_GE65","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","65 years or over",141,
2010,"EL","Y_GE65","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","65 years or over",137,
2011,"EL","Y_GE65","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","65 years or over",173,
2012,"EL","Y_GE65","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","65 years or over",225,
2014,"EL","Y_GE65","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","65 years or over",195,
2015,"EL","Y_GE65","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","65 years or over",219,
2016,"EL","Y_GE65","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","65 years or over",238,
2017,"EL","Y_GE65","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","65 years or over",225,
2018,"EL","Y_GE65","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","65 years or over",224,
2019,"EL","Y_GE65","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","65 years or over",233,
2020,"EL","Y_GE65","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","65 years or over",241,
2021,"EL","Y_GE65","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","65 years or over",271,
2022,"EL","Y_GE65","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","65 years or over",252,
2023,"EL","Y_GE65","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","65 years or over",227,
2024,"EL","Y_GE65","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","65 years or over",211,
2025,"EL","Y_GE65","M","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Males","65 years or over",189,
2003,"EL","TOTAL","F","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Females","Total",1179,
2004,"EL","TOTAL","F","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Females","Total",1277,
2005,"EL","TOTAL","F","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Females","Total",1196,
2006,"EL","TOTAL","F","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Females","Total",1160,
2007,"EL","TOTAL","F","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Females","Total",1204,
2008,"EL","TOTAL","F","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Females","Total",1190,
2009,"EL","TOTAL","F","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Females","Total",1169,
2010,"EL","TOTAL","F","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Females","Total",1182,
2011,"EL","TOTAL","F","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Females","Total",1180,
2012,"EL","TOTAL","F","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Females","Total",1235,
2014,"EL","TOTAL","F","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Females","Total",1200,
2015,"EL","TOTAL","F","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Females","Total",1217,
2016,"EL","TOTAL","F","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Females","Total",1251,
2017,"EL","TOTAL","F","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Females","Total",1195,
2018,"EL","TOTAL","F","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Females","Total",1147,
2019,"EL","TOTAL","F","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Females","Total",1144,
2020,"EL","TOTAL","F","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Females","Total",1147,
2021,"EL","TOTAL","F","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Females","Total",1152,
2022,"EL","TOTAL","F","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Females","Total",1118,
2023,"EL","TOTAL","F","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Females","Total",1010,
2024,"EL","TOTAL","F","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Females","Total",981,
2025,"EL","TOTAL","F","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Females","Total",915,
2003,"EL","Y_LT18","F","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Females","Less than 18 years",205,
2004,"EL","Y_LT18","F","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Females","Less than 18 years",250,
2005,"EL","Y_LT18","F","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Females","Less than 18 years",221,
2006,"EL","Y_LT18","F","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Females","Less than 18 years",220,
2007,"EL","Y_LT18","F","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Females","Less than 18 years",214,
