"time","geo","unit","hhcomp","rskpovth","statinfo","statinfo_label","rskpovth_label","hhcomp_label","unit_label","value","flag"
2016,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",10.4,
2017,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",10.5,
2018,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",9.6,
2019,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",8.5,
2020,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",8.9,
2021,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",10.7,
2022,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",10.6,
2023,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",11.4,
2024,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",13,
2025,"EL","PC","A1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult","Percentage",14.1,
2015,"EL","THS_PER","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Thousand persons",40,
2016,"EL","THS_PER","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Thousand persons",35,
2017,"EL","THS_PER","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Thousand persons",35,
2018,"EL","THS_PER","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Thousand persons",33,
2019,"EL","THS_PER","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Thousand persons",18,
2020,"EL","THS_PER","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Thousand persons",20,
2021,"EL","THS_PER","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Thousand persons",26,
2022,"EL","THS_PER","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Thousand persons",34,
2023,"EL","THS_PER","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Thousand persons",45,
