"time","geo","unit","statinfo","sex","age","age_label","sex_label","statinfo_label","unit_label","value","flag"
2017,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",7600,
2018,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",7863,
2019,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",8195,
2020,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",8781,
2021,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",8752,
2022,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",9520,
2023,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",10050,
2024,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",10850,
2025,"EL","NAC","MED_EI","T","TOTAL","Total","Total","Median equivalised income","National currency",11700,
1995,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",6702,
1996,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",7004,
1997,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",7314,
1998,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",7747,
1999,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",7922,
2000,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",8820,
2001,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",9087,
2003,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",10233,"b"
2004,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",10298,
2005,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",10751,
2006,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",11162,
2007,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",11455,
2008,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",12032,
2009,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",12626,
2010,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",12599,
2011,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",11627,
2012,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",10063,
2013,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",9046,
2014,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",8674,
2015,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",8802,
2016,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",9048,
2017,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",9035,
2018,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",9245,
2019,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",9765,
2020,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",10175,
2021,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",9917,
2022,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",10841,
2023,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",11389,
2024,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",12436,
2025,"EL","PPS","MED_EI","T","TOTAL","Total","Total","Median equivalised income","Purchasing power standard (PPS)",13612,
1995,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",6292,
1996,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",6552,
1997,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",7146,
1998,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",7847,
1999,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",7690,
2000,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",8265,
2001,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",8416,
2003,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",9854,"b"
2004,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",10372,
2005,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",11343,
2006,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",11823,
2007,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",12290,
2008,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",12937,
2009,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",13699,
2010,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",14156,
2011,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",12848,
2012,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",10862,
2013,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",9510,
2014,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",8953,
2015,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",8774,
